image,latency_ms
n01694178_999.JPEG,807.610
n01729322_10113.JPEG,846.648
n01729322_2358.JPEG,828.693
n01729322_7035.JPEG,792.203
n01729322_7119.JPEG,833.347
n01742172_10565.JPEG,825.797
n01742172_1270.JPEG,811.040
n01742172_1307.JPEG,804.058
n01742172_1309.JPEG,804.847
n01742172_1543.JPEG,813.080
n01742172_1688.JPEG,814.175
n01742172_17103.JPEG,815.346
n01742172_1713.JPEG,811.471
n01742172_1740.JPEG,800.017
n01742172_1842.JPEG,808.757
n01742172_2074.JPEG,802.460
n01742172_21585.JPEG,794.212
n01742172_21614.JPEG,818.397
n01742172_21789.JPEG,820.156
n01742172_21901.JPEG,812.875
n01742172_22357.JPEG,847.416
n01742172_23665.JPEG,804.948
n01742172_2378.JPEG,794.315
n01742172_24820.JPEG,827.019
n01742172_27602.JPEG,814.638
n01742172_2815.JPEG,799.039
n01742172_29106.JPEG,816.173
n01742172_2939.JPEG,807.726
n01742172_30324.JPEG,795.366
n01742172_3037.JPEG,810.333
n01742172_305.JPEG,833.307
n01742172_3927.JPEG,806.775
n01742172_3944.JPEG,803.923
n01742172_4176.JPEG,816.033
n01742172_4208.JPEG,808.598
n01742172_4258.JPEG,808.645
n01742172_4285.JPEG,822.594
n01742172_4635.JPEG,805.128
n01742172_4846.JPEG,798.704
n01742172_4912.JPEG,978.402
n01742172_5028.JPEG,806.038
n01742172_5086.JPEG,824.150
n01742172_5419.JPEG,801.208
n01742172_5517.JPEG,800.755
n01742172_6567.JPEG,805.879
n01742172_6638.JPEG,806.826
n01742172_6777.JPEG,796.299
n01742172_7306.JPEG,826.187
n01742172_760.JPEG,818.018
n01742172_8412.JPEG,799.680
n01742172_8447.JPEG,810.090
n01742172_8697.JPEG,813.127
n01742172_8887.JPEG,804.254
n01742172_9230.JPEG,820.659
n01742172_9446.JPEG,821.805
n01744401_11646.JPEG,804.976
n01744401_12113.JPEG,793.610
n01744401_12140.JPEG,792.381
n01744401_14.JPEG,796.784
n01744401_14224.JPEG,806.261
n01744401_2313.JPEG,816.065
n01744401_2506.JPEG,823.208
n01744401_2653.JPEG,802.749
n01744401_299.JPEG,904.192
n01744401_3430.JPEG,793.630
n01744401_376.JPEG,823.521
n01744401_3828.JPEG,827.669
n01744401_4078.JPEG,804.293
n01744401_45.JPEG,800.323
n01744401_8186.JPEG,795.480
n01744401_8671.JPEG,797.932
n01774750_10010.JPEG,796.315
n01774750_1103.JPEG,816.858
n01774750_13131.JPEG,821.628
n01774750_19.JPEG,814.192
n01774750_240.JPEG,833.947
n01774750_3343.JPEG,835.809
n01774750_4790.JPEG,797.359
n01774750_4932.JPEG,868.493
n01774750_5319.JPEG,835.052
n01774750_6942.JPEG,815.369
n01774750_7389.JPEG,815.769
n01774750_8622.JPEG,823.010
n01774750_9685.JPEG,823.775
n01796340_16513.JPEG,839.174
n01796340_17899.JPEG,800.979
n01820546_15031.JPEG,821.210
n01820546_16211.JPEG,798.951
n01820546_17794.JPEG,802.453
n01820546_18704.JPEG,850.659
n01820546_3298.JPEG,808.173
n01820546_3782.JPEG,805.183
n01820546_4307.JPEG,829.902
n01820546_439.JPEG,819.852
n01820546_4570.JPEG,793.869
n01820546_6582.JPEG,801.413
n01820546_6916.JPEG,851.524
n01820546_9467.JPEG,823.004
n01871265_1008.JPEG,812.456
n01871265_1132.JPEG,810.719
n01871265_1241.JPEG,825.608
n01871265_12597.JPEG,812.278
n01871265_1375.JPEG,825.154
n01871265_1526.JPEG,823.952
n01871265_1663.JPEG,807.053
n01871265_16945.JPEG,816.348
n01871265_1817.JPEG,806.443
n01871265_1956.JPEG,839.238
n01871265_2096.JPEG,830.775
n01871265_2283.JPEG,819.206
n01871265_246.JPEG,821.993
n01871265_2496.JPEG,840.276
n01871265_2973.JPEG,816.079
n01871265_3192.JPEG,807.071
n01871265_3409.JPEG,818.241
n01871265_3487.JPEG,799.768
n01871265_3737.JPEG,805.360
n01871265_3766.JPEG,798.042
n01871265_4565.JPEG,807.984
n01871265_4987.JPEG,799.802
n01871265_5397.JPEG,828.024
n01871265_6535.JPEG,813.200
n01871265_7041.JPEG,803.247
n01871265_7197.JPEG,796.943
n01871265_7283.JPEG,809.374
n01871265_75.JPEG,824.335
n01871265_8112.JPEG,864.986
n01871265_945.JPEG,818.682
n01871265_9572.JPEG,816.799
n01872401_1120.JPEG,821.944
n01872401_1283.JPEG,866.732
n01872401_13216.JPEG,841.265
n01872401_14607.JPEG,820.869
n01872401_1557.JPEG,827.292
n01872401_16883.JPEG,824.645
n01872401_17066.JPEG,810.365
n01872401_1936.JPEG,801.167
n01872401_2391.JPEG,824.692
n01872401_2591.JPEG,820.300
n01872401_2958.JPEG,796.614
n01872401_30058.JPEG,810.585
n01872401_3150.JPEG,797.888
n01872401_3285.JPEG,798.492
n01872401_3443.JPEG,805.978
n01872401_4868.JPEG,808.120
n01872401_5655.JPEG,812.544
n01872401_7848.JPEG,802.745
n01872401_9683.JPEG,803.618
n01873310_13627.JPEG,831.327
n01873310_13765.JPEG,801.933
n01873310_14420.JPEG,809.102
n01873310_14808.JPEG,818.913
n01873310_15954.JPEG,836.774
n01873310_1619.JPEG,807.514
n01873310_22748.JPEG,860.672
n01873310_3143.JPEG,863.310
n01873310_4811.JPEG,800.648
n01873310_5489.JPEG,819.487
n01877812_1005.JPEG,829.724
n01877812_10071.JPEG,840.675
n01877812_10072.JPEG,805.421
n01877812_10218.JPEG,837.679
n01877812_10911.JPEG,817.569
n01877812_10915.JPEG,801.509
n01877812_10973.JPEG,812.053
n01877812_1099.JPEG,793.655
n01877812_11056.JPEG,821.917
n01877812_1111.JPEG,833.451
n01877812_11177.JPEG,818.415
n01877812_11279.JPEG,797.812
n01877812_11303.JPEG,795.549
n01877812_11325.JPEG,811.904
n01877812_11408.JPEG,794.766
n01877812_11441.JPEG,801.059
n01877812_11468.JPEG,816.235
n01877812_11580.JPEG,810.616
n01877812_11639.JPEG,816.929
n01877812_11660.JPEG,799.128
n01877812_11698.JPEG,799.233
n01877812_11749.JPEG,810.795
n01877812_11766.JPEG,809.527
n01877812_11875.JPEG,809.747
n01877812_11959.JPEG,809.072
n01877812_12076.JPEG,795.676
n01877812_12143.JPEG,800.814
n01877812_1217.JPEG,799.453
n01877812_1268.JPEG,806.351
n01877812_1270.JPEG,849.229
n01877812_1438.JPEG,827.601
n01877812_1565.JPEG,795.949
n01877812_1630.JPEG,801.317
n01877812_1846.JPEG,800.872
n01877812_1862.JPEG,818.798
n01877812_1962.JPEG,810.856
n01877812_1963.JPEG,819.286
n01877812_2050.JPEG,800.546
n01877812_2092.JPEG,807.554
n01877812_21558.JPEG,812.000
n01877812_2160.JPEG,802.386
n01877812_2172.JPEG,794.643
n01877812_22.JPEG,810.892
n01877812_2203.JPEG,816.138
n01877812_2241.JPEG,797.275
n01877812_2245.JPEG,799.460
n01877812_2307.JPEG,813.834
n01877812_2598.JPEG,808.512
n01877812_2638.JPEG,804.522
n01877812_2661.JPEG,821.187
n01877812_2687.JPEG,816.859
n01877812_2697.JPEG,807.600
n01877812_2822.JPEG,797.680
n01877812_2830.JPEG,807.302
n01877812_3006.JPEG,799.681
n01877812_3119.JPEG,812.538
n01877812_3139.JPEG,813.878
n01877812_3163.JPEG,799.678
n01877812_3304.JPEG,799.909
n01877812_3336.JPEG,794.869
n01877812_3348.JPEG,804.764
n01877812_3448.JPEG,808.234
n01877812_348.JPEG,813.532
n01877812_357.JPEG,870.387
n01877812_3607.JPEG,803.032
n01877812_3675.JPEG,792.973
n01877812_37.JPEG,806.909
n01877812_3773.JPEG,801.178
n01877812_3793.JPEG,814.568
n01877812_3900.JPEG,819.540
n01877812_398.JPEG,792.535
n01877812_4033.JPEG,798.647
n01877812_4048.JPEG,801.744
n01877812_4277.JPEG,802.895
n01877812_4345.JPEG,808.498
n01877812_4396.JPEG,818.034
n01877812_4422.JPEG,802.591
n01877812_4462.JPEG,806.588
n01877812_459.JPEG,806.057
n01877812_469.JPEG,808.476
n01877812_4734.JPEG,805.203
n01877812_4803.JPEG,832.181
n01877812_495.JPEG,825.806
n01877812_4963.JPEG,805.227
n01877812_5036.JPEG,811.969
n01877812_5140.JPEG,819.445
n01877812_5387.JPEG,806.694
n01877812_5408.JPEG,832.468
n01877812_5412.JPEG,821.575
n01877812_5440.JPEG,804.032
n01877812_5456.JPEG,818.232
n01877812_5476.JPEG,796.067
n01877812_5575.JPEG,821.040
n01877812_5803.JPEG,820.164
n01877812_581.JPEG,807.766
n01877812_5846.JPEG,800.137
n01877812_5930.JPEG,801.160
n01877812_5942.JPEG,799.574
n01877812_6206.JPEG,801.703
n01877812_6228.JPEG,805.793
n01877812_6282.JPEG,825.801
n01877812_6283.JPEG,817.088
n01877812_6304.JPEG,811.629
n01877812_6383.JPEG,814.281
n01877812_6500.JPEG,807.291
n01877812_6536.JPEG,804.770
n01877812_6622.JPEG,862.628
n01877812_664.JPEG,809.099
n01877812_6723.JPEG,805.336
n01877812_6725.JPEG,808.995
n01877812_6752.JPEG,814.717
n01877812_6801.JPEG,817.711
n01877812_6844.JPEG,821.564
n01877812_6902.JPEG,819.725
n01877812_6934.JPEG,803.364
n01877812_6977.JPEG,798.689
n01877812_702.JPEG,810.209
n01877812_7086.JPEG,809.037
n01877812_7127.JPEG,823.075
n01877812_7133.JPEG,817.612
n01877812_7319.JPEG,796.338
n01877812_736.JPEG,797.835
n01877812_7438.JPEG,806.424
n01877812_7508.JPEG,803.284
n01877812_775.JPEG,808.985
n01877812_7757.JPEG,807.573
n01877812_7856.JPEG,829.096
n01877812_7931.JPEG,813.808
n01877812_7952.JPEG,799.577
n01877812_7980.JPEG,813.005
n01877812_813.JPEG,896.745
n01877812_82.JPEG,831.863
n01877812_8242.JPEG,800.367
n01877812_8500.JPEG,816.684
n01877812_8558.JPEG,799.239
n01877812_8609.JPEG,806.427
n01877812_8622.JPEG,788.996
n01877812_8672.JPEG,827.851
n01877812_8716.JPEG,811.539
n01877812_8927.JPEG,800.137
n01877812_8981.JPEG,795.193
