ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765482272.7811637,0,22,13,23,25,3.6962547302246094,65.0,63.5,2.58
1765482272.9823518,0,22,13,23,25,3.6962547302246094,65.0,63.5,2.58
1765482273.1836994,0,22,13,23,25,3.6962547302246094,65.0,63.5,2.58
1765482273.3846118,0,22,13,23,25,3.6962547302246094,65.0,63.5,2.58
1765482273.6080842,99,18,37,35,23,3.7392501831054688,35.0,35.0,7.934
1765482273.8097923,99,18,37,35,23,3.7392501831054688,35.0,35.0,7.934
1765482274.0108755,99,63,64,56,77,3.7319183349609375,35.0,35.5,8.888
1765482274.2122047,99,63,64,56,77,3.7319183349609375,35.0,35.5,8.888
1765482274.413277,91,38,43,42,19,3.7375030517578125,34.5,35.0,6.741
1765482274.620047,91,38,43,42,19,3.7375030517578125,34.5,35.0,6.741
1765482274.8211203,91,38,43,42,19,3.7375030517578125,34.5,35.0,6.741
1765482275.0225875,99,28,30,54,24,3.741649627685547,35.0,35.5,9.072
1765482275.2280335,99,28,30,54,24,3.741649627685547,35.0,35.5,9.072
1765482275.4290426,99,28,30,54,24,3.741649627685547,35.0,35.5,9.072
1765482275.6303294,99,44,40,45,72,3.728687286376953,35.0,35.5,8.359
1765482275.8315685,99,44,40,45,72,3.728687286376953,35.0,35.5,8.359
1765482276.0446987,99,28,29,28,25,3.724811553955078,35.0,35.0,7.787
1765482276.2462616,99,28,29,28,25,3.724811553955078,35.0,35.0,7.787
1765482276.4474483,99,64,36,34,31,3.7261085510253906,35.0,35.5,8.584
1765482276.6492033,99,64,36,34,31,3.7261085510253906,35.0,35.5,8.584
1765482276.850328,99,64,36,34,31,3.7261085510253906,35.0,35.5,8.584
1765482277.0515897,64,28,28,36,37,3.7308197021484375,34.0,35.5,5.806
1765482277.2531745,64,28,28,36,37,3.7308197021484375,34.0,35.5,5.806
1765482277.455603,99,42,34,43,35,3.7326316833496094,35.0,35.5,7.934
1765482277.6568427,99,42,34,43,35,3.7326316833496094,35.0,35.5,7.934
1765482277.8580008,99,42,34,43,35,3.7326316833496094,35.0,35.5,7.934
1765482278.0590355,99,40,28,34,50,3.7330780029296875,35.0,36.0,8.12
1765482278.2625194,99,40,28,34,50,3.7330780029296875,35.0,36.0,8.12
1765482278.4643087,99,25,20,22,17,3.7330169677734375,35.0,34.5,6.661
1765482278.6657398,99,25,20,22,17,3.7330169677734375,35.0,34.5,6.661
1765482278.8671641,99,25,20,22,17,3.7330169677734375,35.0,34.5,6.661
1765482279.0704021,99,58,33,40,42,3.733356475830078,35.5,35.0,7.547
1765482279.271588,99,58,33,40,42,3.733356475830078,35.5,35.0,7.547
1765482279.4726171,99,34,28,35,48,3.7238235473632812,35.0,36.0,7.428
1765482279.673602,99,34,28,35,48,3.7238235473632812,35.0,36.0,7.428
1765482279.8747065,99,34,28,35,48,3.7238235473632812,35.0,36.0,7.428
1765482280.0759404,99,25,30,22,30,3.7254180908203125,35.5,36.0,7.974
1765482280.276989,99,25,30,22,30,3.7254180908203125,35.5,36.0,7.974
1765482280.4810777,99,28,18,26,41,3.7241859436035156,35.0,35.5,7.587
1765482280.6876225,99,28,18,26,41,3.7241859436035156,35.0,35.5,7.587
1765482280.8889117,99,28,18,26,41,3.7241859436035156,35.0,35.5,7.587
1765482281.090284,99,30,21,24,21,3.7245445251464844,35.5,35.0,6.118
1765482281.291349,99,30,21,24,21,3.7245445251464844,35.5,35.0,6.118
1765482281.4927523,99,33,31,63,26,3.7248764038085938,35.5,35.5,7.44
1765482281.6952732,99,33,31,63,26,3.7248764038085938,35.5,35.5,7.44
1765482281.8966007,99,33,31,63,26,3.7248764038085938,35.5,35.5,7.44
1765482282.097648,99,28,41,26,22,3.7253456115722656,35.0,36.0,7.587
1765482282.2990248,99,28,41,26,22,3.7253456115722656,35.0,36.0,7.587
1765482282.5037816,99,36,28,21,30,3.7243194580078125,35.5,35.5,7.667
1765482282.711512,99,36,28,21,30,3.7243194580078125,35.5,35.5,7.667
1765482282.9133391,99,36,28,21,30,3.7243194580078125,35.5,35.5,7.667
1765482283.1160514,99,32,44,50,31,3.7246360778808594,36.0,35.5,7.787
1765482283.317334,99,32,44,50,31,3.7246360778808594,36.0,35.5,7.787
1765482283.5183995,58,35,31,27,21,3.7250823974609375,35.0,36.0,5.877
1765482283.720648,58,35,31,27,21,3.7250823974609375,35.0,36.0,5.877
1765482283.9227023,58,35,31,27,21,3.7250823974609375,35.0,36.0,5.877
1765482284.1242626,99,22,24,28,43,3.7251548767089844,36.0,35.5,7.854
1765482284.3254886,99,22,24,28,43,3.7251548767089844,36.0,35.5,7.854
1765482284.5266075,99,52,28,34,26,3.725109100341797,35.5,36.5,7.547
1765482284.7282226,99,52,28,34,26,3.725109100341797,35.5,36.5,7.547
1765482284.929802,99,52,28,34,26,3.725109100341797,35.5,36.5,7.547
1765482285.1310701,99,30,23,21,23,3.724750518798828,35.5,35.5,7.011
1765482285.3324604,99,30,23,21,23,3.724750518798828,35.5,35.5,7.011
1765482285.5334146,99,29,51,38,27,3.7260818481445312,36.0,36.5,8.2
1765482285.7348807,99,29,51,38,27,3.7260818481445312,36.0,36.5,8.2
1765482285.9362493,99,29,51,38,27,3.7260818481445312,36.0,36.5,8.2
1765482286.1372998,0,31,26,28,24,3.724590301513672,35.0,36.5,5.015
1765482286.3385031,0,31,26,28,24,3.724590301513672,35.0,36.5,5.015
1765482286.539604,0,31,26,28,24,3.724590301513672,35.0,36.5,5.015
1765482286.7406008,99,32,30,47,22,3.725811004638672,36.0,36.0,7.854
1765482286.9417741,99,32,30,47,22,3.725811004638672,36.0,36.0,7.854
1765482287.143389,99,40,40,45,42,3.7261962890625,36.0,36.0,7.854
1765482287.3463705,99,40,40,45,42,3.7261962890625,36.0,36.0,7.854
1765482287.5475538,99,40,40,45,42,3.7261962890625,36.0,36.0,7.854
1765482287.7495573,99,24,25,21,20,3.7265701293945312,36.0,37.0,7.587
1765482287.9507477,99,24,25,21,20,3.7265701293945312,36.0,37.0,7.587
1765482288.152158,99,35,48,50,40,3.7128829956054688,36.0,37.0,7.814
1765482288.353229,99,35,48,50,40,3.7128829956054688,36.0,37.0,7.814
1765482288.5603807,99,35,48,50,40,3.7128829956054688,36.0,37.0,7.814
1765482288.7616467,96,30,29,31,19,3.713184356689453,35.5,37.0,5.957
1765482288.9629962,96,30,29,31,19,3.713184356689453,35.5,37.0,5.957
1765482289.164842,99,51,24,28,28,3.7130203247070312,36.5,36.5,8.544
1765482289.3660471,99,51,24,28,28,3.7130203247070312,36.5,36.5,8.544
1765482289.567415,99,51,24,28,28,3.7130203247070312,36.5,36.5,8.544
1765482289.768766,99,51,25,14,15,3.7127342224121094,36.0,36.5,7.775
1765482289.9705951,99,51,25,14,15,3.7127342224121094,36.0,36.5,7.775
1765482290.171687,99,26,24,25,21,3.712921142578125,35.5,36.0,5.967
1765482290.3727472,99,26,24,25,21,3.712921142578125,35.5,36.0,5.967
1765482290.5747232,99,26,24,25,21,3.712921142578125,35.5,36.0,5.967
1765482290.7767613,99,38,30,39,54,3.7134666442871094,36.0,36.5,7.28
1765482290.9781418,99,38,30,39,54,3.7134666442871094,36.0,36.5,7.28
1765482291.179403,99,34,32,22,35,3.7146568298339844,36.0,37.5,8.081
1765482291.3809154,99,34,32,22,35,3.7146568298339844,36.0,37.5,8.081
1765482291.5835016,99,34,32,22,35,3.7146568298339844,36.0,37.5,8.081
1765482291.7847636,99,26,28,28,22,3.7137222290039062,36.5,36.0,7.747
1765482291.9860756,99,26,28,28,22,3.7137222290039062,36.5,36.0,7.747
1765482292.1874552,99,44,32,57,26,3.7144012451171875,36.5,36.5,7.747
