ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765485811.4196923,0,24,23,38,26,3.6804161071777344,62.0,64.5,2.457
1765485811.6208217,0,24,23,38,26,3.6804161071777344,62.0,64.5,2.457
1765485811.82496,0,24,23,38,26,3.6804161071777344,62.0,64.5,2.457
1765485812.0264485,99,69,57,63,63,3.6876144409179688,48.0,49.0,8.346
1765485812.2277737,99,69,57,63,63,3.6876144409179688,48.0,49.0,8.346
1765485812.4290276,99,55,57,53,50,3.6948471069335938,48.0,48.5,7.894
1765485812.6304343,99,55,57,53,50,3.6948471069335938,48.0,48.5,7.894
1765485812.8350472,99,55,57,53,50,3.6948471069335938,48.0,48.5,7.894
1765485813.0363207,0,55,49,61,44,3.6840248107910156,48.0,50.5,5.532
1765485813.2377398,0,55,49,61,44,3.6840248107910156,48.0,50.5,5.532
1765485813.4401927,99,55,37,36,34,3.6869430541992188,48.0,49.5,7.587
1765485813.6413808,99,55,37,36,34,3.6869430541992188,48.0,49.5,7.587
1765485813.8429477,99,55,37,36,34,3.6869430541992188,48.0,49.5,7.587
1765485814.0440395,0,38,26,43,33,3.6845169067382812,47.5,49.0,5.564
1765485814.2450054,0,38,26,43,33,3.6845169067382812,47.5,49.0,5.564
1765485814.4465349,99,28,26,56,30,3.6847801208496094,48.0,48.0,7.28
1765485814.6487525,99,28,26,56,30,3.6847801208496094,48.0,48.0,7.28
1765485814.849909,99,28,26,56,30,3.6847801208496094,48.0,48.0,7.28
1765485815.0510635,99,22,34,25,28,3.685192108154297,48.0,49.0,5.613
1765485815.252129,99,22,34,25,28,3.685192108154297,48.0,49.0,5.613
1765485815.4532201,99,20,22,21,56,3.6853065490722656,48.0,48.0,6.58
1765485815.6547983,99,20,22,21,56,3.6853065490722656,48.0,48.0,6.58
1765485815.8558228,99,20,22,21,56,3.6853065490722656,48.0,48.0,6.58
1765485816.0568075,99,30,27,32,28,3.6541404724121094,47.5,48.0,4.739
1765485816.258124,99,30,27,32,28,3.6541404724121094,47.5,48.0,4.739
1765485816.4596777,99,27,37,33,65,3.65484619140625,48.5,48.0,7.091
1765485816.6628764,99,27,37,33,65,3.65484619140625,48.5,48.0,7.091
1765485816.864267,99,27,37,33,65,3.65484619140625,48.5,48.0,7.091
1765485817.0654778,16,22,30,33,16,3.658580780029297,47.5,49.0,4.699
1765485817.266593,16,22,30,33,16,3.658580780029297,47.5,49.0,4.699
1765485817.4678614,99,20,56,22,24,3.6586990356445312,48.0,48.0,6.77
1765485817.6691341,99,20,56,22,24,3.6586990356445312,48.0,48.0,6.77
1765485817.8707333,99,20,56,22,24,3.6586990356445312,48.0,48.0,6.77
1765485818.0719573,25,34,22,26,23,3.658466339111328,47.5,49.5,4.463
1765485818.2730725,25,34,22,26,23,3.658466339111328,47.5,49.5,4.463
1765485818.4740753,99,32,33,29,60,3.6585960388183594,48.5,48.5,7.2
1765485818.6762524,99,32,33,29,60,3.6585960388183594,48.5,48.5,7.2
1765485818.8781407,99,32,33,29,60,3.6585960388183594,48.5,48.5,7.2
1765485819.0796037,12,21,16,26,18,3.661022186279297,47.5,48.5,4.658
1765485819.2807174,12,21,16,26,18,3.661022186279297,47.5,48.5,4.658
1765485819.4819868,12,21,16,26,18,3.661022186279297,47.5,48.5,4.658
1765485819.6829474,99,37,33,57,29,3.6601486206054688,48.5,48.0,6.701
1765485819.8848097,99,37,33,57,29,3.6601486206054688,48.5,48.0,6.701
1765485820.0860803,88,26,28,20,18,3.6607666015625,48.0,48.0,4.934
1765485820.2871125,88,26,28,20,18,3.6607666015625,48.0,48.0,4.934
1765485820.48842,88,26,28,20,18,3.6607666015625,48.0,48.0,4.934
1765485820.69086,99,55,43,50,39,3.664020538330078,48.5,48.5,7.667
1765485820.8930178,99,55,43,50,39,3.664020538330078,48.5,48.5,7.667
1765485821.0943182,90,21,17,13,19,3.663768768310547,48.0,48.5,5.339
1765485821.2953002,90,21,17,13,19,3.663768768310547,48.0,48.5,5.339
1765485821.496286,90,21,17,13,19,3.663768768310547,48.0,48.5,5.339
1765485821.69832,99,38,64,37,30,3.664043426513672,48.5,48.5,7.12
1765485821.8996985,99,38,64,37,30,3.664043426513672,48.5,48.5,7.12
1765485822.1006422,99,26,18,23,20,3.6642189025878906,48.5,48.5,6.31
1765485822.3017967,99,26,18,23,20,3.6642189025878906,48.5,48.5,6.31
1765485822.5027337,99,26,18,23,20,3.6642189025878906,48.5,48.5,6.31
1765485822.7040312,99,60,32,33,30,3.6657257080078125,48.5,49.0,7.735
1765485822.9073312,99,60,32,33,30,3.6657257080078125,48.5,49.0,7.735
1765485823.1086874,99,24,17,14,19,3.6643142700195312,48.5,48.5,6.511
1765485823.3100119,99,24,17,14,19,3.6643142700195312,48.5,48.5,6.511
1765485823.5121462,99,24,17,14,19,3.6643142700195312,48.5,48.5,6.511
1765485823.7146637,99,34,42,32,56,3.6641464233398438,48.5,48.5,7.051
1765485823.9160013,99,34,42,32,56,3.6641464233398438,48.5,48.5,7.051
1765485824.117874,99,31,30,16,22,3.6647109985351562,48.5,48.5,6.931
1765485824.319173,99,31,30,16,22,3.6647109985351562,48.5,48.5,6.931
1765485824.5201237,99,31,30,16,22,3.6647109985351562,48.5,48.5,6.931
1765485824.7213237,99,20,70,29,18,3.664661407470703,48.5,48.5,7.747
1765485824.9233813,99,20,70,29,18,3.664661407470703,48.5,48.5,7.747
1765485825.1247609,98,26,20,18,19,3.6646156311035156,49.0,48.5,6.39
1765485825.3259568,98,26,20,18,19,3.6646156311035156,49.0,48.5,6.39
1765485825.5270243,98,26,20,18,19,3.6646156311035156,49.0,48.5,6.39
1765485825.7286885,99,40,36,42,58,3.666217803955078,49.0,48.5,7.12
1765485825.9308426,99,40,36,42,58,3.666217803955078,49.0,48.5,7.12
1765485826.1321726,99,28,24,20,21,3.6677207946777344,49.0,48.5,7.28
1765485826.3333497,99,28,24,20,21,3.6677207946777344,49.0,48.5,7.28
1765485826.5344594,99,28,24,20,21,3.6677207946777344,49.0,48.5,7.28
1765485826.7357268,99,20,32,23,58,3.6665306091308594,49.0,48.5,7.131
1765485826.9392302,99,20,32,23,58,3.6665306091308594,49.0,48.5,7.131
1765485827.1404662,99,20,32,23,58,3.6665306091308594,49.0,48.5,7.131
1765485827.3414176,99,27,24,26,16,3.666767120361328,48.5,48.5,6.701
1765485827.5424652,99,27,24,26,16,3.666767120361328,48.5,48.5,6.701
1765485827.7441728,99,58,39,32,46,3.6661643981933594,49.0,49.0,7.695
1765485827.9465632,99,58,39,32,46,3.6661643981933594,49.0,49.0,7.695
1765485828.1478908,99,58,39,32,46,3.6661643981933594,49.0,49.0,7.695
1765485828.3488002,99,20,25,26,16,3.6674957275390625,49.5,49.0,7.667
1765485828.5498807,99,20,25,26,16,3.6674957275390625,49.5,49.0,7.667
1765485828.7510245,99,28,55,24,25,3.666858673095703,48.5,49.5,7.507
1765485828.952321,99,28,55,24,25,3.666858673095703,48.5,49.5,7.507
1765485829.1542287,99,28,55,24,25,3.666858673095703,48.5,49.5,7.507
1765485829.3553646,99,26,25,21,18,3.6666526794433594,49.0,49.0,7.091
1765485829.557866,99,26,25,21,18,3.6666526794433594,49.0,49.0,7.091
1765485829.759101,98,39,52,44,46,3.6665496826171875,49.5,49.5,7.934
1765485829.9612615,98,39,52,44,46,3.6665496826171875,49.5,49.5,7.934
1765485830.162814,98,39,52,44,46,3.6665496826171875,49.5,49.5,7.934
1765485830.3637352,99,22,10,18,19,3.6666221618652344,48.5,49.0,7.36
1765485830.5647123,99,22,10,18,19,3.6666221618652344,48.5,49.0,7.36
1765485830.7658556,99,35,30,58,27,3.6667404174804688,49.0,50.0,7.32
1765485830.9669797,99,35,30,58,27,3.6667404174804688,49.0,50.0,7.32
1765485831.169438,99,35,30,58,27,3.6667404174804688,49.0,50.0,7.32
1765485831.3710444,99,23,23,28,22,3.6670455932617188,49.0,49.0,6.821
1765485831.5723307,99,23,23,28,22,3.6670455932617188,49.0,49.0,6.821
1765485831.7734666,99,41,36,53,29,3.6691741943359375,49.0,50.0,7.775
1765485831.9754636,99,41,36,53,29,3.6691741943359375,49.0,50.0,7.775
1765485832.1787872,99,41,36,53,29,3.6691741943359375,49.0,50.0,7.775
1765485832.3802001,98,22,16,25,21,3.6689224243164062,48.5,49.0,6.58
1765485832.5815194,98,22,16,25,21,3.6689224243164062,48.5,49.0,6.58
1765485832.7826288,99,43,50,62,52,3.6660308837890625,49.0,50.5,8.24
1765485832.9839191,99,43,50,62,52,3.6660308837890625,49.0,50.5,8.24
1765485833.1850708,99,43,50,62,52,3.6660308837890625,49.0,50.5,8.24
1765485833.3876238,99,30,22,25,28,3.6688003540039062,49.5,50.0,7.814
1765485833.5889525,99,30,22,25,28,3.6688003540039062,49.5,50.0,7.814
1765485833.7900093,99,28,28,38,35,3.6727371215820312,48.5,49.5,7.16
1765485833.9917321,99,28,28,38,35,3.6727371215820312,48.5,49.5,7.16
1765485834.195134,99,28,28,38,35,3.6727371215820312,48.5,49.5,7.16
1765485834.3966625,99,30,18,26,35,3.6717300415039062,49.5,49.0,7.28
1765485834.5978212,99,30,18,26,35,3.6717300415039062,49.5,49.0,7.28
1765485834.7988732,99,30,38,32,42,3.6716995239257812,49.0,49.5,6.741
1765485835.0009787,99,30,38,32,42,3.6716995239257812,49.0,49.5,6.741
1765485835.2025056,99,30,38,32,42,3.6716995239257812,49.0,49.5,6.741
1765485835.4059198,99,24,24,25,43,3.6722373962402344,49.0,49.0,7.32
1765485835.6071088,99,24,24,25,43,3.6722373962402344,49.0,49.0,7.32
1765485835.8098078,99,24,24,25,43,3.6722373962402344,49.0,49.0,7.32
1765485836.0160987,99,28,36,25,26,3.6730575561523438,48.5,51.0,6.781
1765485836.2173524,99,28,36,25,26,3.6730575561523438,48.5,51.0,6.781
1765485836.4197195,99,38,41,23,28,3.6731224060058594,49.5,49.0,7.2
1765485836.6220875,99,38,41,23,28,3.6731224060058594,49.5,49.0,7.2
1765485836.8231223,99,38,41,23,28,3.6731224060058594,49.5,49.0,7.2
1765485837.024183,99,32,21,44,28,3.6732177734375,49.0,50.0,6.5
1765485837.2253776,99,32,21,44,28,3.6732177734375,49.0,50.0,6.5
1765485837.4267359,99,27,27,58,21,3.6743431091308594,49.5,49.5,7.627
1765485837.629999,99,27,27,58,21,3.6743431091308594,49.5,49.5,7.627
1765485837.8378363,99,27,27,58,21,3.6743431091308594,49.5,49.5,7.627
1765485838.0389445,0,24,24,23,14,3.6739730834960938,48.5,49.0,5.015
1765485838.2411366,0,24,24,23,14,3.6739730834960938,48.5,49.0,5.015
1765485838.4439554,99,38,43,48,28,3.6743125915527344,49.5,49.0,6.701
1765485838.6454298,99,38,43,48,28,3.6743125915527344,49.5,49.0,6.701
1765485838.850033,99,38,43,48,28,3.6743125915527344,49.5,49.0,6.701
1765485839.0510666,26,27,21,30,34,3.6748580932617188,48.5,49.5,4.853
1765485839.252133,26,27,21,30,34,3.6748580932617188,48.5,49.5,4.853
1765485839.4532347,99,26,32,34,56,3.6748504638671875,49.5,50.5,8.054
1765485839.6562088,99,26,32,34,56,3.6748504638671875,49.5,50.5,8.054
1765485839.8574896,99,26,32,34,56,3.6748504638671875,49.5,50.5,8.054
1765485840.0585048,19,28,26,27,28,3.6681976318359375,49.0,49.0,4.901
1765485840.2601988,19,28,26,27,28,3.6681976318359375,49.0,49.0,4.901
1765485840.4620178,99,44,27,35,52,3.671092987060547,50.0,49.5,6.85
1765485840.6633086,99,44,27,35,52,3.671092987060547,50.0,49.5,6.85
1765485840.8642511,99,44,27,35,52,3.671092987060547,50.0,49.5,6.85
1765485841.0655499,99,34,30,28,33,3.67181396484375,49.0,50.0,5.492
1765485841.2685642,99,34,30,28,33,3.67181396484375,49.0,50.0,5.492
1765485841.4697576,99,41,28,27,50,3.672107696533203,50.0,50.0,7.32
1765485841.6718485,99,41,28,27,50,3.672107696533203,50.0,50.0,7.32
1765485841.87298,99,41,28,27,50,3.672107696533203,50.0,50.0,7.32
1765485842.0740774,16,21,18,32,21,3.6721878051757812,48.5,49.5,4.544
1765485842.275799,16,21,18,32,21,3.6721878051757812,48.5,49.5,4.544
1765485842.477534,99,36,41,27,50,3.67236328125,49.5,49.5,6.77
1765485842.6804256,99,36,41,27,50,3.67236328125,49.5,49.5,6.77
1765485842.8818758,99,36,41,27,50,3.67236328125,49.5,49.5,6.77
1765485843.0829935,11,26,30,25,23,3.6732101440429688,48.5,50.0,4.853
1765485843.2852557,11,26,30,25,23,3.6732101440429688,48.5,50.0,4.853
1765485843.4862173,99,28,27,24,51,3.6721229553222656,50.0,49.0,6.47
1765485843.6880205,99,28,27,24,51,3.6721229553222656,50.0,49.0,6.47
1765485843.8910682,99,28,27,24,51,3.6721229553222656,50.0,49.0,6.47
1765485844.0927114,0,32,22,22,25,3.6722869873046875,49.5,49.0,4.267
1765485844.293999,0,32,22,22,25,3.6722869873046875,49.5,49.0,4.267
1765485844.4953716,99,36,34,31,55,3.672260284423828,49.5,49.5,7.12
1765485844.6968205,99,36,34,31,55,3.672260284423828,49.5,49.5,7.12
1765485844.8982456,99,36,34,31,55,3.672260284423828,49.5,49.5,7.12
1765485845.0997322,99,26,20,20,17,3.672985076904297,49.5,50.0,6.078
1765485845.3008177,99,26,20,20,17,3.672985076904297,49.5,50.0,6.078
1765485845.502465,99,28,64,37,22,3.672260284423828,49.5,49.5,7.011
1765485845.7036808,99,28,64,37,22,3.672260284423828,49.5,49.5,7.011
1765485845.9049203,99,28,64,37,22,3.672260284423828,49.5,49.5,7.011
1765485846.1067822,99,28,22,18,23,3.671802520751953,49.5,49.5,6.43
1765485846.3101096,99,28,22,18,23,3.671802520751953,49.5,49.5,6.43
1765485846.5185862,99,28,22,18,23,3.671802520751953,49.5,49.5,6.43
1765485846.7197108,0,37,26,24,44,3.663013458251953,48.0,49.5,3.062
1765485846.9209466,0,37,26,24,44,3.663013458251953,48.0,49.5,3.062
1765485847.1221938,99,69,24,21,32,3.677867889404297,49.5,49.5,6.971
1765485847.324032,99,69,24,21,32,3.677867889404297,49.5,49.5,6.971
1765485847.5251074,99,18,26,22,20,3.6770401000976562,49.0,49.0,4.739
1765485847.726834,99,18,26,22,20,3.6770401000976562,49.0,49.0,4.739
1765485847.928162,99,18,26,22,20,3.6770401000976562,49.0,49.0,4.739
1765485848.1304386,99,34,30,46,64,3.677204132080078,49.5,49.0,6.891
1765485848.332024,99,34,30,46,64,3.677204132080078,49.5,49.0,6.891
1765485848.533566,99,34,30,46,64,3.677204132080078,49.5,49.0,6.891
1765485848.7348254,99,23,29,25,23,3.6783676147460938,49.5,50.5,6.81
1765485848.9357677,99,23,29,25,23,3.6783676147460938,49.5,50.5,6.81
1765485849.136751,99,28,60,30,24,3.6778488159179688,49.5,49.5,6.971
1765485849.3384142,99,28,60,30,24,3.6778488159179688,49.5,49.5,6.971
1765485849.5396419,99,28,60,30,24,3.6778488159179688,49.5,49.5,6.971
1765485849.74101,99,29,20,24,26,3.6776123046875,49.5,49.5,6.54
1765485849.9423919,99,29,20,24,26,3.6776123046875,49.5,49.5,6.54
1765485850.143507,99,34,40,30,53,3.677227020263672,49.5,50.0,6.971
1765485850.3458834,99,34,40,30,53,3.677227020263672,49.5,50.0,6.971
1765485850.5470397,99,34,40,30,53,3.677227020263672,49.5,50.0,6.971
1765485850.7482128,99,32,28,17,34,3.6806640625,49.5,50.5,7.36
1765485850.9492483,99,32,28,17,34,3.6806640625,49.5,50.5,7.36
1765485851.1511931,99,35,60,24,24,3.6796722412109375,50.0,50.5,7.468
1765485851.3523397,99,35,60,24,24,3.6796722412109375,50.0,50.5,7.468
1765485851.5555341,99,35,60,24,24,3.6796722412109375,50.0,50.5,7.468
1765485851.7568932,99,25,16,30,23,3.6795501708984375,50.0,49.5,6.43
1765485851.9579265,99,25,16,30,23,3.6795501708984375,50.0,49.5,6.43
1765485852.1594114,99,66,39,42,26,3.6799964904785156,50.0,50.5,7.854
1765485852.3615353,99,66,39,42,26,3.6799964904785156,50.0,50.5,7.854
1765485852.563096,99,66,39,42,26,3.6799964904785156,50.0,50.5,7.854
1765485852.7642484,98,28,20,8,16,3.679950714111328,50.0,50.0,6.81
1765485852.9652784,98,28,20,8,16,3.679950714111328,50.0,50.0,6.81
1765485853.1666908,99,64,23,28,35,3.679668426513672,50.0,50.0,7.16
1765485853.3678439,99,64,23,28,35,3.679668426513672,50.0,50.0,7.16
1765485853.5701246,99,64,23,28,35,3.679668426513672,50.0,50.0,7.16
1765485853.771275,99,23,28,26,28,3.6797447204589844,49.5,49.5,6.621
1765485853.9725604,99,23,28,26,28,3.6797447204589844,49.5,49.5,6.621
1765485854.173815,99,31,45,62,29,3.6802024841308594,50.5,50.5,8.16
1765485854.375347,99,31,45,62,29,3.6802024841308594,50.5,50.5,8.16
1765485854.577483,99,31,45,62,29,3.6802024841308594,50.5,50.5,8.16
1765485854.7787256,99,22,10,17,20,3.679668426513672,50.0,50.0,6.81
