ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765482234.6275337,99,37,29,34,67,3.699535369873047,28.5,29.0,8.703
1765482234.8286908,99,37,29,34,67,3.699535369873047,28.5,29.0,8.703
1765482235.045145,99,37,29,34,67,3.699535369873047,28.5,29.0,8.703
1765482235.2504244,99,58,66,44,44,3.695880889892578,28.0,29.5,8.743
1765482235.4516475,99,58,66,44,44,3.695880889892578,28.0,29.5,8.743
1765482235.6525939,99,68,52,60,47,3.6988487243652344,28.5,29.0,7.907
1765482235.854022,99,68,52,60,47,3.6988487243652344,28.5,29.0,7.907
1765482236.0553033,99,68,52,60,47,3.6988487243652344,28.5,29.0,7.907
1765482236.2567914,99,27,51,32,24,3.706348419189453,28.5,29.0,7.587
1765482236.4580052,99,27,51,32,24,3.706348419189453,28.5,29.0,7.587
1765482236.659231,99,36,62,38,32,3.707794189453125,28.0,29.5,7.707
1765482236.8602748,99,36,62,38,32,3.707794189453125,28.0,29.5,7.707
1765482237.061936,99,36,62,38,32,3.707794189453125,28.0,29.5,7.707
1765482237.2634373,99,48,50,43,40,3.712421417236328,28.5,29.0,7.934
1765482237.4678295,99,48,50,43,40,3.712421417236328,28.5,29.0,7.934
1765482237.6690693,99,42,40,54,54,3.720928192138672,28.5,29.5,8.014
1765482237.8707647,99,42,40,54,54,3.720928192138672,28.5,29.5,8.014
1765482238.074481,99,42,40,54,54,3.720928192138672,28.5,29.5,8.014
1765482238.2757375,17,50,32,33,28,3.717803955078125,28.0,29.5,5.169
1765482238.4771774,17,50,32,33,28,3.717803955078125,28.0,29.5,5.169
1765482238.6782541,99,41,62,53,28,3.7134552001953125,29.0,29.5,8.439
1765482238.8796062,99,41,62,53,28,3.7134552001953125,29.0,29.5,8.439
1765482239.080887,99,41,62,53,28,3.7134552001953125,29.0,29.5,8.439
1765482239.2821088,99,36,38,44,35,3.7185516357421875,28.5,29.5,8.703
1765482239.4834342,99,36,38,44,35,3.7185516357421875,28.5,29.5,8.703
1765482239.684772,6,34,26,33,30,3.7193031311035156,28.0,30.5,5.411
1765482239.8863766,6,34,26,33,30,3.7193031311035156,28.0,30.5,5.411
1765482240.087719,6,34,26,33,30,3.7193031311035156,28.0,30.5,5.411
1765482240.288851,99,36,48,33,30,3.721790313720703,29.0,29.5,8.624
1765482240.4900496,99,36,48,33,30,3.721790313720703,29.0,29.5,8.624
1765482240.6911454,99,54,32,28,28,3.7213592529296875,29.0,29.0,7.667
1765482240.892281,99,54,32,28,28,3.7213592529296875,29.0,29.0,7.667
