image,latency_ms
n01694178_999.JPEG,800.764
n01729322_10113.JPEG,803.695
n01729322_2358.JPEG,796.761
n01729322_7035.JPEG,783.560
n01729322_7119.JPEG,798.340
n01742172_10565.JPEG,828.572
n01742172_1270.JPEG,794.969
n01742172_1307.JPEG,787.638
n01742172_1309.JPEG,789.849
n01742172_1543.JPEG,783.412
n01742172_1688.JPEG,784.549
n01742172_17103.JPEG,790.380
n01742172_1713.JPEG,792.115
n01742172_1740.JPEG,820.558
n01742172_1842.JPEG,798.259
n01742172_2074.JPEG,787.213
n01742172_21585.JPEG,783.903
n01742172_21614.JPEG,794.997
n01742172_21789.JPEG,779.853
n01742172_21901.JPEG,794.404
n01742172_22357.JPEG,798.414
n01742172_23665.JPEG,798.128
n01742172_2378.JPEG,783.279
n01742172_24820.JPEG,790.315
n01742172_27602.JPEG,786.186
n01742172_2815.JPEG,789.593
n01742172_29106.JPEG,792.467
n01742172_2939.JPEG,808.486
n01742172_30324.JPEG,799.932
n01742172_3037.JPEG,803.303
n01742172_305.JPEG,788.490
n01742172_3927.JPEG,791.977
n01742172_3944.JPEG,793.863
n01742172_4176.JPEG,794.921
n01742172_4208.JPEG,794.552
n01742172_4258.JPEG,798.832
n01742172_4285.JPEG,800.156
n01742172_4635.JPEG,788.353
n01742172_4846.JPEG,792.198
n01742172_4912.JPEG,1234.345
n01742172_5028.JPEG,799.152
n01742172_5086.JPEG,794.731
n01742172_5419.JPEG,795.237
n01742172_5517.JPEG,796.694
n01742172_6567.JPEG,797.753
n01742172_6638.JPEG,805.261
n01742172_6777.JPEG,798.241
n01742172_7306.JPEG,786.531
n01742172_760.JPEG,789.783
n01742172_8412.JPEG,784.698
n01742172_8447.JPEG,791.988
n01742172_8697.JPEG,790.885
n01742172_8887.JPEG,801.322
n01742172_9230.JPEG,818.472
n01742172_9446.JPEG,803.980
n01744401_11646.JPEG,800.502
n01744401_12113.JPEG,791.968
n01744401_12140.JPEG,794.705
n01744401_14.JPEG,800.570
n01744401_14224.JPEG,798.105
n01744401_2313.JPEG,835.279
n01744401_2506.JPEG,790.635
n01744401_2653.JPEG,797.525
n01744401_299.JPEG,1271.803
n01744401_3430.JPEG,792.885
n01744401_376.JPEG,808.683
n01744401_3828.JPEG,797.055
n01744401_4078.JPEG,787.811
n01744401_45.JPEG,796.413
n01744401_8186.JPEG,798.055
n01744401_8671.JPEG,797.461
n01774750_10010.JPEG,786.781
n01774750_1103.JPEG,835.087
n01774750_13131.JPEG,792.456
n01774750_19.JPEG,846.685
n01774750_240.JPEG,822.843
n01774750_3343.JPEG,857.595
n01774750_4790.JPEG,810.461
n01774750_4932.JPEG,804.169
n01774750_5319.JPEG,821.840
n01774750_6942.JPEG,808.648
n01774750_7389.JPEG,819.360
n01774750_8622.JPEG,804.562
n01774750_9685.JPEG,807.165
n01796340_16513.JPEG,864.163
n01796340_17899.JPEG,809.392
n01820546_15031.JPEG,808.038
n01820546_16211.JPEG,807.647
n01820546_17794.JPEG,817.765
n01820546_18704.JPEG,800.956
n01820546_3298.JPEG,804.685
n01820546_3782.JPEG,804.983
n01820546_4307.JPEG,825.696
n01820546_439.JPEG,822.794
n01820546_4570.JPEG,809.282
n01820546_6582.JPEG,778.887
n01820546_6916.JPEG,828.339
n01820546_9467.JPEG,819.012
n01871265_1008.JPEG,812.516
n01871265_1132.JPEG,786.794
n01871265_1241.JPEG,800.297
n01871265_12597.JPEG,807.348
n01871265_1375.JPEG,781.039
n01871265_1526.JPEG,791.017
n01871265_1663.JPEG,788.995
n01871265_16945.JPEG,795.031
n01871265_1817.JPEG,790.251
n01871265_1956.JPEG,817.245
n01871265_2096.JPEG,795.950
n01871265_2283.JPEG,824.074
n01871265_246.JPEG,799.324
n01871265_2496.JPEG,809.912
n01871265_2973.JPEG,843.534
n01871265_3192.JPEG,788.113
n01871265_3409.JPEG,824.358
n01871265_3487.JPEG,847.202
n01871265_3737.JPEG,801.346
n01871265_3766.JPEG,784.269
n01871265_4565.JPEG,803.382
n01871265_4987.JPEG,779.891
n01871265_5397.JPEG,821.413
n01871265_6535.JPEG,802.513
n01871265_7041.JPEG,803.146
n01871265_7197.JPEG,792.161
n01871265_7283.JPEG,782.912
n01871265_75.JPEG,807.498
n01871265_8112.JPEG,798.929
n01871265_945.JPEG,812.308
n01871265_9572.JPEG,809.543
n01872401_1120.JPEG,826.154
n01872401_1283.JPEG,846.314
n01872401_13216.JPEG,799.572
n01872401_14607.JPEG,811.899
n01872401_1557.JPEG,823.042
n01872401_16883.JPEG,809.939
n01872401_17066.JPEG,816.087
n01872401_1936.JPEG,849.396
n01872401_2391.JPEG,803.136
n01872401_2591.JPEG,804.938
n01872401_2958.JPEG,836.852
n01872401_30058.JPEG,839.115
n01872401_3150.JPEG,788.050
n01872401_3285.JPEG,815.039
n01872401_3443.JPEG,800.092
n01872401_4868.JPEG,843.975
n01872401_5655.JPEG,816.448
n01872401_7848.JPEG,813.622
n01872401_9683.JPEG,802.163
n01873310_13627.JPEG,777.870
n01873310_13765.JPEG,796.324
n01873310_14420.JPEG,774.672
n01873310_14808.JPEG,791.974
n01873310_15954.JPEG,805.382
n01873310_1619.JPEG,800.595
n01873310_22748.JPEG,837.254
n01873310_3143.JPEG,789.734
n01873310_4811.JPEG,787.382
n01873310_5489.JPEG,786.937
n01877812_1005.JPEG,800.860
n01877812_10071.JPEG,863.461
n01877812_10072.JPEG,801.534
n01877812_10218.JPEG,800.079
n01877812_10911.JPEG,803.662
n01877812_10915.JPEG,812.224
n01877812_10973.JPEG,798.266
n01877812_1099.JPEG,838.404
n01877812_11056.JPEG,810.481
n01877812_1111.JPEG,799.290
n01877812_11177.JPEG,806.199
n01877812_11279.JPEG,806.158
n01877812_11303.JPEG,792.194
n01877812_11325.JPEG,803.163
n01877812_11408.JPEG,815.732
n01877812_11441.JPEG,808.185
n01877812_11468.JPEG,785.309
n01877812_11580.JPEG,793.414
n01877812_11639.JPEG,805.492
n01877812_11660.JPEG,797.623
n01877812_11698.JPEG,796.430
n01877812_11749.JPEG,798.334
n01877812_11766.JPEG,798.046
n01877812_11875.JPEG,797.194
n01877812_11959.JPEG,789.932
n01877812_12076.JPEG,797.634
n01877812_12143.JPEG,795.406
n01877812_1217.JPEG,796.138
n01877812_1268.JPEG,805.086
n01877812_1270.JPEG,806.115
n01877812_1438.JPEG,797.255
n01877812_1565.JPEG,811.192
n01877812_1630.JPEG,810.409
n01877812_1846.JPEG,824.570
n01877812_1862.JPEG,783.172
n01877812_1962.JPEG,818.931
n01877812_1963.JPEG,815.527
n01877812_2050.JPEG,805.000
n01877812_2092.JPEG,811.312
n01877812_21558.JPEG,807.227
n01877812_2160.JPEG,813.501
n01877812_2172.JPEG,810.673
n01877812_22.JPEG,809.641
n01877812_2203.JPEG,818.027
n01877812_2241.JPEG,805.117
n01877812_2245.JPEG,791.685
n01877812_2307.JPEG,802.767
n01877812_2598.JPEG,794.169
n01877812_2638.JPEG,796.207
n01877812_2661.JPEG,806.209
