image,latency_ms
n01694178_999.JPEG,880.117
n01729322_10113.JPEG,898.977
n01729322_2358.JPEG,868.384
n01729322_7035.JPEG,894.485
n01729322_7119.JPEG,894.929
n01742172_10565.JPEG,863.186
n01742172_1270.JPEG,862.973
n01742172_1307.JPEG,867.516
n01742172_1309.JPEG,871.959
n01742172_1543.JPEG,884.196
n01742172_1688.JPEG,899.082
n01742172_17103.JPEG,899.105
n01742172_1713.JPEG,887.016
n01742172_1740.JPEG,853.958
n01742172_1842.JPEG,869.563
n01742172_2074.JPEG,864.655
n01742172_21585.JPEG,899.319
n01742172_21614.JPEG,865.665
n01742172_21789.JPEG,862.537
n01742172_21901.JPEG,863.527
n01742172_22357.JPEG,874.691
n01742172_23665.JPEG,876.210
n01742172_2378.JPEG,886.135
n01742172_24820.JPEG,884.868
n01742172_27602.JPEG,886.324
n01742172_2815.JPEG,866.554
n01742172_29106.JPEG,864.943
n01742172_2939.JPEG,862.170
n01742172_30324.JPEG,890.746
n01742172_3037.JPEG,876.105
n01742172_305.JPEG,870.064
n01742172_3927.JPEG,862.832
n01742172_3944.JPEG,881.748
n01742172_4176.JPEG,905.006
n01742172_4208.JPEG,895.650
n01742172_4258.JPEG,864.507
n01742172_4285.JPEG,890.251
n01742172_4635.JPEG,861.099
n01742172_4846.JPEG,863.268
n01742172_4912.JPEG,915.316
n01742172_5028.JPEG,892.623
n01742172_5086.JPEG,885.280
n01742172_5419.JPEG,858.859
n01742172_5517.JPEG,862.056
n01742172_6567.JPEG,898.724
n01742172_6638.JPEG,865.639
n01742172_6777.JPEG,862.978
n01742172_7306.JPEG,864.737
n01742172_760.JPEG,894.221
n01742172_8412.JPEG,863.089
n01742172_8447.JPEG,856.760
n01742172_8697.JPEG,862.944
n01742172_8887.JPEG,880.058
n01742172_9230.JPEG,859.777
n01742172_9446.JPEG,856.665
n01744401_11646.JPEG,869.122
n01744401_12113.JPEG,877.699
n01744401_12140.JPEG,882.584
n01744401_14.JPEG,849.174
n01744401_14224.JPEG,862.279
n01744401_2313.JPEG,859.794
n01744401_2506.JPEG,897.411
n01744401_2653.JPEG,860.986
n01744401_299.JPEG,1298.648
n01744401_3430.JPEG,858.380
n01744401_376.JPEG,891.955
n01744401_3828.JPEG,889.769
n01744401_4078.JPEG,861.343
n01744401_45.JPEG,867.118
n01744401_8186.JPEG,860.023
n01744401_8671.JPEG,875.333
n01774750_10010.JPEG,877.107
n01774750_1103.JPEG,862.773
n01774750_13131.JPEG,860.382
n01774750_19.JPEG,875.227
n01774750_240.JPEG,881.434
n01774750_3343.JPEG,866.021
n01774750_4790.JPEG,861.239
n01774750_4932.JPEG,871.902
n01774750_5319.JPEG,914.515
n01774750_6942.JPEG,896.759
n01774750_7389.JPEG,891.274
n01774750_8622.JPEG,899.440
n01774750_9685.JPEG,867.475
n01796340_16513.JPEG,871.286
n01796340_17899.JPEG,877.983
n01820546_15031.JPEG,893.534
n01820546_16211.JPEG,863.238
n01820546_17794.JPEG,865.066
n01820546_18704.JPEG,868.812
n01820546_3298.JPEG,917.278
n01820546_3782.JPEG,890.824
n01820546_4307.JPEG,866.781
n01820546_439.JPEG,867.636
n01820546_4570.JPEG,884.708
n01820546_6582.JPEG,854.481
n01820546_6916.JPEG,873.630
n01820546_9467.JPEG,866.693
n01871265_1008.JPEG,905.706
n01871265_1132.JPEG,864.598
n01871265_1241.JPEG,874.613
n01871265_12597.JPEG,877.664
n01871265_1375.JPEG,929.129
n01871265_1526.JPEG,894.437
n01871265_1663.JPEG,861.145
n01871265_16945.JPEG,863.555
n01871265_1817.JPEG,906.042
n01871265_1956.JPEG,875.783
n01871265_2096.JPEG,863.753
n01871265_2283.JPEG,878.897
n01871265_246.JPEG,895.396
n01871265_2496.JPEG,886.499
n01871265_2973.JPEG,869.369
n01871265_3192.JPEG,874.106
n01871265_3409.JPEG,887.726
n01871265_3487.JPEG,867.387
n01871265_3737.JPEG,860.650
n01871265_3766.JPEG,864.167
n01871265_4565.JPEG,885.263
n01871265_4987.JPEG,854.903
n01871265_5397.JPEG,873.825
n01871265_6535.JPEG,872.784
n01871265_7041.JPEG,908.165
n01871265_7197.JPEG,857.220
n01871265_7283.JPEG,857.479
n01871265_75.JPEG,867.124
n01871265_8112.JPEG,886.678
n01871265_945.JPEG,869.109
n01871265_9572.JPEG,861.280
n01872401_1120.JPEG,861.835
n01872401_1283.JPEG,893.308
n01872401_13216.JPEG,860.717
n01872401_14607.JPEG,860.830
n01872401_1557.JPEG,884.636
n01872401_16883.JPEG,896.777
n01872401_17066.JPEG,875.623
n01872401_1936.JPEG,862.190
n01872401_2391.JPEG,863.253
n01872401_2591.JPEG,889.196
n01872401_2958.JPEG,861.439
n01872401_30058.JPEG,874.181
n01872401_3150.JPEG,856.522
n01872401_3285.JPEG,886.676
n01872401_3443.JPEG,862.326
n01872401_4868.JPEG,859.747
n01872401_5655.JPEG,864.559
n01872401_7848.JPEG,900.501
n01872401_9683.JPEG,864.928
n01873310_13627.JPEG,869.992
n01873310_13765.JPEG,864.420
