ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765479507.3970747,0,31,15,6,7,3.6283035278320312,69.0,67.0,2.694
1765479507.5980864,0,31,15,6,7,3.6283035278320312,69.0,67.0,2.694
1765479507.7990506,0,31,15,6,7,3.6283035278320312,69.0,67.0,2.694
1765479508.00065,99,50,44,50,48,3.6643905639648438,54.0,55.5,7.404
1765479508.2016497,99,50,44,50,48,3.6643905639648438,54.0,55.5,7.404
1765479508.4029772,99,50,44,50,48,3.6643905639648438,54.0,55.5,7.404
1765479508.6130078,99,83,81,68,76,3.6502609252929688,55.0,56.0,8.909
1765479508.8140533,99,83,81,68,76,3.6502609252929688,55.0,56.0,8.909
1765479509.0152884,99,73,68,51,60,3.6438865661621094,54.5,56.0,6.4
1765479509.2164898,99,73,68,51,60,3.6438865661621094,54.5,56.0,6.4
1765479509.4194355,99,73,68,51,60,3.6438865661621094,54.5,56.0,6.4
1765479509.6206164,99,28,28,72,31,3.637317657470703,55.0,56.0,8.345
1765479509.8216476,99,28,28,72,31,3.637317657470703,55.0,56.0,8.345
1765479510.0226026,99,21,21,20,14,3.627216339111328,54.5,55.0,5.193
1765479510.2237818,99,21,21,20,14,3.627216339111328,54.5,55.0,5.193
1765479510.4261308,99,21,21,20,14,3.627216339111328,54.5,55.0,5.193
1765479510.627486,99,41,58,37,32,3.6274185180664062,55.0,55.0,7.63
1765479510.8285713,99,41,58,37,32,3.6274185180664062,55.0,55.0,7.63
1765479511.0295663,99,16,13,18,16,3.6280593872070312,55.0,55.5,6.857
1765479511.2307522,99,16,13,18,16,3.6280593872070312,55.0,55.5,6.857
1765479511.43179,99,16,13,18,16,3.6280593872070312,55.0,55.5,6.857
1765479511.6327064,99,28,23,64,23,3.628711700439453,54.5,56.0,7.936
1765479511.8337288,99,28,23,64,23,3.628711700439453,54.5,56.0,7.936
1765479512.034804,99,17,14,17,16,3.628742218017578,54.5,55.0,7.364
1765479512.2357218,99,17,14,17,16,3.628742218017578,54.5,55.0,7.364
1765479512.4366388,99,17,14,17,16,3.628742218017578,54.5,55.0,7.364
1765479512.6376286,99,28,50,35,21,3.628498077392578,54.5,55.5,7.511
1765479512.8387918,99,28,50,35,21,3.628498077392578,54.5,55.5,7.511
1765479513.0400562,99,22,21,34,14,3.6297264099121094,54.5,55.5,7.737
1765479513.2410183,99,22,21,34,14,3.6297264099121094,54.5,55.5,7.737
1765479513.4422967,99,22,21,34,14,3.6297264099121094,54.5,55.5,7.737
1765479513.6492403,99,23,35,20,22,3.6290016174316406,54.5,55.5,7.216
1765479513.8502731,99,23,35,20,22,3.6290016174316406,54.5,55.5,7.216
1765479514.0512524,98,26,33,25,18,3.6291656494140625,54.5,56.0,7.511
1765479514.2523413,98,26,33,25,18,3.6291656494140625,54.5,56.0,7.511
1765479514.4534907,98,26,33,25,18,3.6291656494140625,54.5,56.0,7.511
1765479514.654651,99,22,18,23,20,3.6294937133789062,55.0,55.0,5.969
1765479514.855548,99,22,18,23,20,3.6294937133789062,55.0,55.0,5.969
1765479515.056663,99,52,14,31,20,3.629863739013672,55.0,55.5,7.404
1765479515.257788,99,52,14,31,20,3.629863739013672,55.0,55.5,7.404
1765479515.4587305,99,52,14,31,20,3.629863739013672,55.0,55.5,7.404
1765479515.6638753,95,16,26,19,14,3.6239395141601562,54.5,55.5,5.898
1765479515.870159,95,16,26,19,14,3.6239395141601562,54.5,55.5,5.898
1765479516.0712116,99,63,58,58,50,3.627227783203125,55.0,55.5,7.551
1765479516.2724245,99,63,58,58,50,3.627227783203125,55.0,55.5,7.551
1765479516.4734342,99,63,58,58,50,3.627227783203125,55.0,55.5,7.551
1765479516.6743755,99,38,37,34,38,3.627979278564453,55.0,56.5,6.868
1765479516.8755474,99,38,37,34,38,3.627979278564453,55.0,56.5,6.868
1765479517.0765994,99,39,64,25,20,3.627552032470703,55.0,56.5,8.042
1765479517.2776365,99,39,64,25,20,3.627552032470703,55.0,56.5,8.042
1765479517.4787855,99,39,64,25,20,3.627552032470703,55.0,56.5,8.042
1765479517.6798656,99,14,19,8,17,3.6275062561035156,55.0,55.5,6.937
1765479517.9035294,99,14,19,8,17,3.6275062561035156,55.0,55.5,6.937
1765479518.104601,99,56,39,31,25,3.6273040771484375,54.5,56.5,7.71
1765479518.3055668,99,56,39,31,25,3.6273040771484375,54.5,56.5,7.71
1765479518.5065994,99,56,39,31,25,3.6273040771484375,54.5,56.5,7.71
1765479518.7075667,99,18,18,17,10,3.6283645629882812,55.0,55.5,7.444
1765479518.9085057,99,18,18,17,10,3.6283645629882812,55.0,55.5,7.444
1765479519.109399,99,20,52,19,24,3.6278457641601562,54.5,56.0,7.75
1765479519.3108952,99,20,52,19,24,3.6278457641601562,54.5,56.0,7.75
1765479519.5121722,99,20,52,19,24,3.6278457641601562,54.5,56.0,7.75
1765479519.7133076,99,25,26,10,21,3.628345489501953,55.0,55.5,7.324
1765479519.9144127,99,25,26,10,21,3.628345489501953,55.0,55.5,7.324
1765479520.115497,99,38,24,24,29,3.6282882690429688,54.5,56.0,7.245
1765479520.3167655,99,38,24,24,29,3.6282882690429688,54.5,56.0,7.245
1765479520.5177922,99,38,24,24,29,3.6282882690429688,54.5,56.0,7.245
1765479520.7189322,99,14,17,41,15,3.6288070678710938,55.5,55.5,7.789
1765479520.9198442,99,14,17,41,15,3.6288070678710938,55.5,55.5,7.789
1765479521.1211455,99,15,10,21,22,3.6277236938476562,55.0,55.5,5.858
1765479521.3222928,99,15,10,21,22,3.6277236938476562,55.0,55.5,5.858
1765479521.5232286,99,15,10,21,22,3.6277236938476562,55.0,55.5,5.858
1765479521.724339,99,23,28,32,59,3.627819061279297,55.0,55.5,6.897
1765479521.925246,99,23,28,32,59,3.627819061279297,55.0,55.5,6.897
1765479522.1270077,99,23,28,32,59,3.627819061279297,55.0,55.5,6.897
1765479522.3285716,75,26,27,18,19,3.6296119689941406,54.5,57.0,5.738
1765479522.5297432,75,26,27,18,19,3.6296119689941406,54.5,57.0,5.738
1765479522.7306833,99,32,20,23,41,3.6279563903808594,55.5,56.0,7.057
1765479522.9317317,99,32,20,23,41,3.6279563903808594,55.5,56.0,7.057
1765479523.1325054,99,32,20,23,41,3.6279563903808594,55.5,56.0,7.057
1765479523.333516,99,22,20,18,18,3.628368377685547,55.0,55.5,6.52
1765479523.5347269,99,22,20,18,18,3.628368377685547,55.0,55.5,6.52
1765479523.7357788,99,36,29,43,52,3.6284332275390625,55.0,56.0,7.856
1765479523.9368465,99,36,29,43,52,3.6284332275390625,55.0,56.0,7.856
1765479524.1379347,99,36,29,43,52,3.6284332275390625,55.0,56.0,7.856
1765479524.338867,99,13,22,12,13,3.6294479370117188,55.5,56.0,7.856
1765479524.5401766,99,13,22,12,13,3.6294479370117188,55.5,56.0,7.856
1765479524.7412405,99,27,55,22,16,3.6286048889160156,55.5,56.0,7.471
1765479524.94214,99,27,55,22,16,3.6286048889160156,55.5,56.0,7.471
1765479525.143274,99,27,55,22,16,3.6286048889160156,55.5,56.0,7.471
1765479525.3442938,98,21,23,19,16,3.6292076110839844,55.5,56.0,6.977
1765479525.54523,98,21,23,19,16,3.6292076110839844,55.5,56.0,6.977
1765479525.7462995,99,38,28,22,38,3.6287460327148438,55.0,56.5,8.015
1765479525.9476962,99,38,28,22,38,3.6287460327148438,55.0,56.5,8.015
1765479526.1487205,99,38,28,22,38,3.6287460327148438,55.0,56.5,8.015
1765479526.349795,99,30,10,13,4,3.6288490295410156,55.5,56.0,7.551
1765479526.5508382,99,30,10,13,4,3.6288490295410156,55.5,56.0,7.551
1765479526.7521868,65,33,22,32,23,3.628948211669922,55.0,56.5,6.44
1765479526.9533045,65,33,22,32,23,3.628948211669922,55.0,56.5,6.44
1765479527.1544394,65,33,22,32,23,3.628948211669922,55.0,56.5,6.44
