ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765484595.1553473,0,24,27,23,17,3.598857879638672,68.0,69.5,2.69
1765484595.356689,0,24,27,23,17,3.598857879638672,68.0,69.5,2.69
1765484595.5580943,0,24,27,23,17,3.598857879638672,68.0,69.5,2.69
1765484595.7658873,99,48,55,72,44,3.62432861328125,42.5,44.0,9.013
1765484595.967498,99,48,55,72,44,3.62432861328125,42.5,44.0,9.013
1765484596.1686451,99,48,55,72,44,3.62432861328125,42.5,44.0,9.013
1765484596.369765,99,89,86,74,72,3.62158203125,42.5,43.5,9.013
1765484596.5708156,99,89,86,74,72,3.62158203125,42.5,43.5,9.013
1765484596.7721193,98,26,26,34,34,3.623279571533203,42.0,43.0,6.857
1765484596.9730566,98,26,26,34,34,3.623279571533203,42.0,43.0,6.857
1765484597.1742246,98,26,26,34,34,3.623279571533203,42.0,43.0,6.857
1765484597.375776,99,26,36,50,16,3.6234130859375,42.5,43.0,9.077
1765484597.5771773,99,26,36,50,16,3.6234130859375,42.5,43.0,9.077
1765484597.7784154,99,52,58,62,69,3.6154403686523438,42.5,42.5,9.052
1765484597.9794974,99,52,58,62,69,3.6154403686523438,42.5,42.5,9.052
1765484598.1813233,99,52,58,62,69,3.6154403686523438,42.5,42.5,9.052
1765484598.3837726,99,37,28,25,18,3.6190338134765625,42.0,43.0,7.312
1765484598.5849624,99,37,28,25,18,3.6190338134765625,42.0,43.0,7.312
1765484598.7860675,99,68,38,40,34,3.629547119140625,42.5,43.0,8.187
1765484598.9872513,99,68,38,40,34,3.629547119140625,42.5,43.0,8.187
1765484599.1917987,99,68,38,40,34,3.629547119140625,42.5,43.0,8.187
1765484599.3928397,99,25,36,27,31,3.6287384033203125,42.5,42.5,7.804
1765484599.5962572,99,25,36,27,31,3.6287384033203125,42.5,42.5,7.804
1765484599.7972493,99,20,24,20,21,3.62939453125,42.5,42.5,7.618
1765484600.0022035,99,20,24,20,21,3.62939453125,42.5,42.5,7.618
1765484600.2031646,99,20,24,20,21,3.62939453125,42.5,42.5,7.618
1765484600.4044526,99,46,56,64,51,3.63134765625,43.0,44.5,8.791
1765484600.6054826,99,46,56,64,51,3.63134765625,43.0,44.5,8.791
1765484600.8069558,99,55,50,47,39,3.6370849609375,42.5,43.5,7.843
1765484601.0080776,99,55,50,47,39,3.6370849609375,42.5,43.5,7.843
1765484601.209108,99,55,50,47,39,3.6370849609375,42.5,43.5,7.843
1765484601.4101415,99,37,22,18,20,3.6369056701660156,42.5,43.0,7.312
1765484601.6116073,99,37,22,18,20,3.6369056701660156,42.5,43.0,7.312
1765484601.81261,99,44,24,24,24,3.6364097595214844,43.0,42.5,7.843
1765484602.01355,99,44,24,24,24,3.6364097595214844,43.0,42.5,7.843
1765484602.214514,99,44,24,24,24,3.6364097595214844,43.0,42.5,7.843
1765484602.4156353,99,12,17,17,19,3.6369056701660156,42.0,43.5,7.046
1765484602.6168249,99,12,17,17,19,3.6369056701660156,42.0,43.5,7.046
1765484602.8178906,99,13,15,8,28,3.6368026733398438,43.0,43.0,7.843
1765484603.0187511,99,13,15,8,28,3.6368026733398438,43.0,43.0,7.843
1765484603.219895,99,13,15,8,28,3.6368026733398438,43.0,43.0,7.843
1765484603.4209547,99,52,22,30,28,3.63702392578125,42.5,43.0,7.883
1765484603.6220906,99,52,22,30,28,3.63702392578125,42.5,43.0,7.883
1765484603.823318,99,52,22,30,28,3.63702392578125,42.5,43.0,7.883
1765484604.024552,99,22,30,20,16,3.6398048400878906,42.5,43.5,7.273
1765484604.2258735,99,22,30,20,16,3.6398048400878906,42.5,43.5,7.273
1765484604.4270113,99,57,25,26,28,3.6405868530273438,43.0,43.5,8.489
1765484604.6280951,99,57,25,26,28,3.6405868530273438,43.0,43.5,8.489
1765484604.8292341,99,57,25,26,28,3.6405868530273438,43.0,43.5,8.489
1765484605.030515,99,20,34,29,18,3.6401824951171875,42.5,43.0,6.738
1765484605.2317126,99,20,34,29,18,3.6401824951171875,42.5,43.0,6.738
1765484605.4328237,99,16,20,14,38,3.641010284423828,43.5,43.0,7.312
1765484605.6346648,99,16,20,14,38,3.641010284423828,43.5,43.0,7.312
1765484605.8357215,99,16,20,14,38,3.641010284423828,43.5,43.0,7.312
1765484606.036839,99,56,24,37,42,3.6344757080078125,43.5,44.0,8.752
1765484606.2381775,99,56,24,37,42,3.6344757080078125,43.5,44.0,8.752
1765484606.4392455,99,24,18,24,22,3.64215087890625,43.0,44.0,6.4
1765484606.6403425,99,24,18,24,22,3.64215087890625,43.0,44.0,6.4
1765484606.8416169,99,24,18,24,22,3.64215087890625,43.0,44.0,6.4
1765484607.0429718,99,46,46,63,46,3.6414794921875,43.5,43.5,8.187
1765484607.244309,99,46,46,63,46,3.6414794921875,43.5,43.5,8.187
1765484607.4455874,99,44,44,48,42,3.64227294921875,43.0,44.5,7.923
1765484607.6466656,99,44,44,48,42,3.64227294921875,43.0,44.5,7.923
1765484607.847737,99,44,44,48,42,3.64227294921875,43.0,44.5,7.923
1765484608.0553749,99,46,49,51,41,3.6428565979003906,44.0,44.0,8.555
1765484608.2568,99,46,49,51,41,3.6428565979003906,44.0,44.0,8.555
1765484608.4577866,99,36,34,42,53,3.641742706298828,43.5,43.5,7.843
1765484608.6588461,99,36,34,42,53,3.641742706298828,43.5,43.5,7.843
1765484608.8598866,99,36,34,42,53,3.641742706298828,43.5,43.5,7.843
1765484609.0611086,29,23,20,22,32,3.6426315307617188,43.0,43.5,6.36
1765484609.26207,29,23,20,22,32,3.6426315307617188,43.0,43.5,6.36
1765484609.4631805,99,25,25,29,40,3.642650604248047,43.5,43.5,8.002
1765484609.6641204,99,25,25,29,40,3.642650604248047,43.5,43.5,8.002
1765484609.8654857,99,25,25,29,40,3.642650604248047,43.5,43.5,8.002
1765484610.066555,99,35,26,28,42,3.645702362060547,43.5,44.0,8.45
1765484610.2676857,99,35,26,28,42,3.645702362060547,43.5,44.0,8.45
1765484610.4686925,99,19,14,12,19,3.6449851989746094,43.5,43.0,6.009
1765484610.6699967,99,19,14,12,19,3.6449851989746094,43.5,43.0,6.009
1765484610.8709307,99,19,14,12,19,3.6449851989746094,43.5,43.0,6.009
1765484611.0721493,99,36,58,39,34,3.645618438720703,44.0,43.5,7.697
1765484611.2732947,99,36,58,39,34,3.645618438720703,44.0,43.5,7.697
1765484611.474341,99,36,26,26,34,3.6460800170898438,43.5,44.0,7.962
